Exp. nr,Model,Prompt type,ICL usage,F1-macro,Accuracy
E1,MISTRAL_7B_INSTRUCT,standard,zeroshot,0.6382 ± 0.0310,0.6638 ± 0.0321
E1,MIXTRAL_INSTRUCT,standard,zeroshot,0.6862 ± 0.0328,0.7611 ± 0.0255
E1,LLAMA2_7B_CHAT,standard,zeroshot,0.4494 ± 0.0231,0.7005 ± 0.0103
E2,MISTRAL_7B_INSTRUCT,standard,fewshot,0.5787 ± 0.0328,0.5947 ± 0.0356
E2,MIXTRAL_INSTRUCT,standard,fewshot,0.6104 ± 0.0340,0.6195 ± 0.0370
E2,LLAMA2_7B_CHAT,standard,fewshot,0.4269 ± 0.0105,0.7355 ± 0.0031
E3,MISTRAL_7B_INSTRUCT,CoT,zeroshot,0.6361 ± 0.0202,0.6920 ± 0.0228
E3,MIXTRAL_INSTRUCT,CoT,zeroshot,0.6454 ± 0.0255,0.7210 ± 0.0068
E3,LLAMA2_7B_CHAT,CoT,zeroshot,0.4502 ± 0.0286,0.7346 ± 0.0143
E4,MISTRAL_7B_INSTRUCT,lora,zeroshot,0.7993 ± 0.0316,0.8413 ± 0.0268
E4,LLAMA2_7B_CHAT,lora,zeroshot,0.6902 ± 0.1150,0.7858 ± 0.0302
